description,HS6
crustaceans rock lobsters and other sea crawfish palinurus spp panulirus spp jasus spp smoked cooked or not whether in shell or not whether or not cooked before or during smoking,30691.0
crustaceans lobsters homarus spp smoked cooked or not whether in shell or not whether or not cooked before or during smoking,30692.0
crustaceans crabs smoked cooked or not whether in shell or not whether or not cooked before or during smoking,30693.0
crustaceans norway lobsters nephrops norvegicus smoked cooked or not whether in shell or not whether or not cooked before or during smoking,30694.0
crustaceans shrimps and prawns smoked cooked or not whether in shell or not whether or not cooked before or during smoking,30695.0
crustaceans smoked whole cooked or not nec in item no 03069 in shell or not,30699.0
molluscs oysters whether in shell or not live fresh or chilled,
molluscs oysters whether in shell or not live fresh or chilled,30711.0
molluscs oysters whether in shell or not frozen,30712.0
molluscs oysters whether in shell or not dried salted or in brine smoked cooked or not before or during the smoking process,30719.0
molluscs scallops and other molluscs of the family pectinidae whether in shell or not live fresh or chilled,30721.0
molluscs scallops and other molluscs of the family pectinidae whether in shell or not frozen,30722.0
molluscs scallops and other molluscs of the family pectinidae whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30729.0
molluscs mussels mytilus spp perna spp whether in shell or not live fresh or chilled,30731.0
molluscs mussels mytilus spp perna spp whether in shell or not frozen,30732.0
molluscs mussels mytilus spp perna spp whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30739.0
molluscs cuttle fish and squid whether in shell or not live fresh or chilled,30742.0
molluscs cuttle fish and squid whether in shell or not frozen,30743.0
molluscs cuttle fish and squid whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30749.0
molluscs octopus octopus spp live fresh or chilled,30751.0
molluscs octopus octopus spp frozen,30752.0
molluscs octopus octopus spp dried salted in brine or smoked cooked or not before or during the smoking process,30759.0
molluscs snails other than sea snails whether in shell or not live fresh chilled frozen dried salted in brine or smoked cooked or not before or during the smoking process,30760.0
molluscs clams cockles and ark shells families arcidae arcticidae cardiidae donacidae hiatellidae mactridae mesodesmatidae myidae semelidae solecurtidae solenidae tridacnidae and veneridae whether in shell or not live fresh or chilled,30771.0
molluscs clams cockles ark shells arcidae arcticidae cardiidae donacidae hiatellidae mactridae mesodesmatidae myidae semelidae solecurtidae solenidae tridacnidae and veneridae whether in shell or not frozen,30772.0
molluscs clams cockle ark shells families arcidae arcticidae cardiidae donacidae hiatellidae mactridae mesodesmatidae myidae semelidae solecurtidae solenidae tridacnidae veneridae whether in shell or not dried salted in brine smoked,30779.0
molluscs abalone haliotis spp whether in shell or not live fresh or chilled,30781.0
molluscs stromboid conchs strombus spp whether in shell or not live fresh or chilled,30782.0
molluscs abalone haliotis spp whether in shell or not frozen,30783.0
molluscs stromboid conchs strombus spp whether in shell or not frozen,30784.0
molluscs abalone haliotis spp whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30787.0
molluscs stromboid conchs strombus spp whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30788.0
molluscs nec in heading 0307 whether in shell or not live or fresh chilled,30791.0
molluscs nec in heading 0307 whether in shell or not frozen,30792.0
molluscs nec in heading 0307 whether in shell or not dried salted in brine or smoked cooked or not before or during the smoking process,30799.0
aquatic invertebrates sea cucumbers stichopus japonicus holothuroidea live fresh or chilled,
aquatic invertebrates sea cucumbers stichopus japonicus holothuroidea live fresh or chilled,30811.0
aquatic invertebrates sea cucumbers stichopus japonicus holothuroidea frozen,30812.0
aquatic invertebrates sea cucumbers stichopus japonicus holothuroidea dried salted or in brine smoked whether or not cooked before or during the smoking process,30819.0
aquatic invertebrates sea urchins strongylocentrotus spp paracentrotus lividus loxechinus albus echinus esculentus live fresh or chilled,30821.0
aquatic invertebrates sea urchins strongylocentrotus spp paracentrotus lividus loxechinus albus echinus esculentus frozen,30822.0
aquatic invertebrates sea urchins strongylocentrotus spp paracentrotus lividus loxechinus albus echinus esculentus dried salted or in brine smoked whether or not cooked before or during smoking process,30829.0
aquatic invertebrates jellyfish rhopilema spp live fresh chilled frozen dried salted or in brine smoked whether or not cooked before or during smoking,30830.0
aquatic invertebrates other than crustaceans molluscs sea urchins sea cucumbers and jellyfish live fresh chilled frozen dried salted or in brine smoked cooked or not before or during smoking,30890.0
flours meals and pellets of fish fit for human consumption,
flours meals and pellets of fish fit for human consumption,30910.0
flours meals and pellets of crustaceans molluscs and other aquatic invertebrates fit for human consumption,30990.0
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight not exceeding 1,
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight not exceeding 1,
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight not exceeding 1,40110.0
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight exceeding 1 but not exceeding 6,40120.0
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight exceeding 6 but not exceeding 10,40140.0
dairy produce milk and cream not concentrated not containing added sugar or other sweetening matter of a fat content by weight exceeding 10,40150.0
dairy produce milk and cream concentrated or containing added sugar or other sweetening matter in powder granules or other solid forms of a fat content not exceeding 15 by weight,
dairy produce milk and cream concentrated or containing added sugar or other sweetening matter in powder granules or other solid forms of a fat content not exceeding 15 by weight,40210.0
dairy produce milk and cream concentrated not containing added sugar or other sweetening matter in powder granules or other solid forms of a fat content exceeding 15 by weight,40221.0
dairy produce milk and cream containing added sugar or other sweetening matter in powder granules or other solid forms of a fat content exceeding 15 by weight,40229.0
dairy produce milk and cream concentrated not containing added sugar or other sweetening matter other than in powder granules or other solid forms,40291.0
dairy produce milk and cream containing added sugar or other sweetening matter other than in powder granules or other solid forms,40299.0
dairy produce yoghurt whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit nuts or cocoa,
dairy produce yoghurt whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit nuts or cocoa,40320.0
dairy produce buttermilk curdled milk or cream kephir fermented or acidified milk or cream whether or not concentrated or containing added sweetening flavouring fruit nuts or cocoa excluding yoghurt,40390.0
dairy produce whey whether or not concentrated or containing added sugar or other sweetening matter,
dairy produce whey whether or not concentrated or containing added sugar or other sweetening matter,40410.0
dairy produce natural milk constituents excluding whey whether or not containing added sugar or other sweetening matter nec in chapter 04,40490.0
dairy produce derived from milk butter,
dairy produce derived from milk butter,40510.0
dairy produce dairy spreads,40520.0
dairy produce fats and oils derived from milk other than butter or dairy spreads,40590.0
dairy produce fresh cheese including whey cheese not fermented and curd,
dairy produce fresh cheese including whey cheese not fermented and curd,40610.0
dairy produce cheese of all kinds grated or powdered,40620.0
dairy produce cheese processed not grated or powdered,40630.0
dairy produce cheese blueveined and other cheese containing veins produced by penicillium roqueforti not grated powdered or processed,40640.0
dairy produce cheese not grated powdered or processed nec in heading no 0406,40690.0
birds eggs in shell fresh fertilised eggs for incubation of fowls of the species gallus domesticus domestic hens,
birds eggs in shell fresh fertilised eggs for incubation of fowls of the species gallus domesticus domestic hens,40711.0
birds eggs in shell fresh fertilised eggs for incubation other than fowls of the species gallus domesticus domestic hens,40719.0
birds eggs in shell fresh not for incubation of fowls of the species gallus domesticus domestic hens,40721.0
birds eggs in shell fresh not for incubation other than fowls of the species gallus domesticus domestic hens,40729.0
birds eggs in shell preserved or cooked,40790.0
eggs birds eggs yolks dried whether or not containing added sugar or other sweetening matter,
eggs birds eggs yolks dried whether or not containing added sugar or other sweetening matter,40811.0
eggs birds eggs yolks fresh cooked by steaming or by boiling in water moulded frozen or otherwise preserved whether or not containing added sugar or other sweetening matter,40819.0
eggs birds eggs not in shell excluding yolks only dried whether or not containing added sugar or other sweetening matter,40891.0
eggs birds eggs not in shell excluding yolks only fresh cooked by steaming or boiling in water moulded frozen otherwise preserved whether or not containing added sugar or other sweetening matter,40899.0
honey natural,
honey natural,40900.0
animal products insects,
